trade_id,pair,is_short,close_profit,close_profit_abs,stake_amount,open_date,close_date,exit_reason,strategy,trade_date,close_price,ema200,ema200_block,ema200_direction,crisis_block
678,BTC/USDT:USDT,False,-0.0308324914574328,-33.52182825,1086.680775,2026-04-17 09:30:07.655831+00:00,2026-04-17 10:05:12.011000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
679,ETH/USDT:USDT,False,-0.027034617839459,-29.80795889,1102.03379,2026-04-17 09:30:08.924991+00:00,2026-04-17 10:05:12.997000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
680,SOL/USDT:USDT,False,-0.0384308740884705,-42.3818265,1102.2556,2026-04-17 09:30:10.191119+00:00,2026-04-17 10:05:13.969000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
681,ETH/USDT:USDT,True,-0.0048219241986492,-5.20908895,1080.833,2026-04-17 10:30:03.184384+00:00,2026-04-17 11:05:08.208000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
682,BTC/USDT:USDT,True,-0.004661217466989,-4.903689,1052.5452,2026-04-17 10:30:08.677247+00:00,2026-04-17 11:05:11.975000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
683,ETH/USDT:USDT,False,0.0401523431451913,43.3608721,1079.3692,2026-04-17 12:50:07.763509+00:00,2026-04-17 13:11:02.044000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
684,BTC/USDT:USDT,False,0.0390426344966074,41.6286332,1065.7024,2026-04-17 13:05:03.096074+00:00,2026-04-17 13:26:12.012000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
685,ETH/USDT:USDT,False,0.0123389787334141,13.43023984,1087.8962,2026-04-17 13:15:07.987770+00:00,2026-04-17 13:45:12.378000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
686,BTC/USDT:USDT,False,0.008135027267594,8.8041744,1081.7142,2026-04-17 13:55:07.615277+00:00,2026-04-17 14:25:12.811000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
687,ETH/USDT:USDT,False,0.0007113629805497,0.78211552,1098.911075,2026-04-17 13:55:09.323721+00:00,2026-04-17 14:25:46.983000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
688,ETH/USDT:USDT,False,-0.0218475304598336,-24.055889,1100.5302,2026-04-17 22:35:07.734588+00:00,2026-04-17 23:10:12.390000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
689,ETH/USDT:USDT,True,-0.0031272042141164,-3.42313074,1095.17733,2026-04-17 23:20:08.558593+00:00,2026-04-17 23:55:11.961000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
690,BTC/USDT:USDT,False,-0.0101518805453954,-10.969448,1079.9936,2026-04-18 00:05:12.193075+00:00,2026-04-18 00:40:16.953000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
691,SOL/USDT:USDT,True,-0.003135021685534,-3.42556715,1093.22395,2026-04-18 03:55:07.682019+00:00,2026-04-18 04:30:12.399000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,False,block_shorts_above,False
692,BTC/USDT:USDT,False,0.001432329069892,1.5457316,1078.6342,2026-04-18 04:55:07.542403+00:00,2026-04-18 05:25:11.972000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
693,BNB/USDT:USDT,False,-0.0188539436413687,-20.6044833,1092.30125,2026-04-18 05:10:12.237387+00:00,2026-04-18 05:45:16.974000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,601.81,764.327327713103,True,block_longs_below,False
694,SOL/USDT:USDT,False,-0.0085112176236255,-9.2718231,1088.82065,2026-04-18 06:50:12.027461+00:00,2026-04-18 07:25:16.981000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
695,BTC/USDT:USDT,True,0.0019671060402708,2.1136556,1075.0376,2026-04-18 08:20:07.803967+00:00,2026-04-18 08:50:12.403000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
696,ETH/USDT:USDT,True,0.0083227389210276,9.0427064,1087.0496,2026-04-18 08:20:09.066955+00:00,2026-04-18 08:50:13.381000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
697,SOL/USDT:USDT,True,0.0123510776781199,13.4198419,1087.0756,2026-04-18 08:20:10.297573+00:00,2026-04-18 08:50:14.363000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,False,block_shorts_above,False
698,XRP/USDT:USDT,True,0.0003463349671463,0.37629952,1087.062525,2026-04-18 08:35:12.725204+00:00,2026-04-18 09:09:26.990000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,1.3259,1.854389993213925,False,block_shorts_above,False
699,BTC/USDT:USDT,False,-0.0053846184055674,-5.781636,1073.1952,2026-04-18 09:00:09.146317+00:00,2026-04-18 09:35:11.964000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
700,ETH/USDT:USDT,False,-0.0020962488495745,-2.28945385,1091.621205,2026-04-18 09:15:07.875766+00:00,2026-04-18 09:50:11.999000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
701,SOL/USDT:USDT,False,-0.0327330912788099,-35.75715575,1091.839625,2026-04-18 09:35:07.967331+00:00,2026-04-18 10:10:12.871000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
702,ETH/USDT:USDT,False,-0.012910249625703,-13.9863124,1082.80809,2026-04-18 10:20:07.527466+00:00,2026-04-18 10:55:11.965000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
703,BTC/USDT:USDT,True,-0.0117404633995204,-12.4542124,1061.3246,2026-04-18 11:45:07.486992+00:00,2026-04-18 12:20:11.972000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
704,SOL/USDT:USDT,False,-0.0049193756822303,-5.3055483,1077.96135,2026-04-18 13:55:07.468166+00:00,2026-04-18 14:30:12.583000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
705,ETH/USDT:USDT,False,0.0002995394477307,0.3227568,1076.97168,2026-04-18 14:55:08.275190+00:00,2026-04-18 15:25:16.949000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
706,BTC/USDT:USDT,False,-0.0095743247694573,-10.2252192,1067.4496,2026-04-18 15:05:08.017647+00:00,2026-04-18 15:40:12.053000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
707,BTC/USDT:USDT,True,0.0001278083967661,0.1357286,1062.5006,2026-04-18 16:20:08.161749+00:00,2026-04-18 16:51:21.992000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
708,ETH/USDT:USDT,False,-0.0172523829897955,-18.55653949,1075.055305,2026-04-18 16:25:03.144563+00:00,2026-04-18 17:00:05.005000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
709,BTC/USDT:USDT,True,0.000223050845702,0.2360008,1058.5876,2026-04-18 18:20:07.800259+00:00,2026-04-18 18:54:47.050000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
710,SOL/USDT:USDT,True,-0.0033962852026547,-3.6354656,1070.9596,2026-04-18 18:35:08.044981+00:00,2026-04-18 19:10:12.028000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,False,block_shorts_above,False
